sep=;
Reference; Value; Footprint; Datasheet; Manufacturer; MPN; SKU; Res; Tol; Pwr; C; Vmax; Type
R30;ERJ-8CWFR030V;Main:RESC1206;;Panasonic Electronic Components;ERJ-8CWFR030V;STUFF;0.03 Ω;±1%;1 W;;;
R70;RC0603FR-0766K5L;Main:RESC0603;;Yageo;RC0603FR-0766K5L;STUFF;66.5 kΩ;±1%;100 mW;;;
Q2;PSMN1R2-30YLC;Main:SOT127P500X110-5;;NXP Semiconductors;PSMN1R2-30YLC,115;STUFF;;;;;;
U5;LM5060MM/NOPB;Main:SOP50P300X300X100-10;;Texas Instruments;LM5060MM/NOPB;STUFF;;;;;;
Q3;Q_PNP_BEC;Main:SOT190P290X130X100-3;;ON Semiconductor;MMBT4403LT3G;STUFF;;;;;;
Q4;Q_NPN_BEC;Main:SOT190P290X130X100-3;;ON Semiconductor;MMBT2222ALT3G;STUFF;;;;;;
DLED5;Led_Small;Main:LED-0805;
U4;INA3221AIRGVR;Main:QFN65P400X400X90-16NT210X210;;Texas Instruments;INA3221AIRGVR;STUFF;;;;;;
R16;RSENSE_WSL3637;Main:RESC940914X064;;Vishay Dale;WSL36373L000FEA;STUFF;;;;;;
C26;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
C25;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
C27;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
C22;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0V;X7R
C23;CC0603JRNPO9BN102;Main:CAPC0603;;Yageo;CC0603JRNPO9BN102;STUFF;;±5%;;1.00 nF;50.0V;C0G/NP0
C24;CC0603KRX7R9BB103;Main:CAPC0603;;Yageo;CC0603KRX7R9BB103;STUFF;;±10%;;10.0 nF;50.0V;X7R
R22;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
R21;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
R17;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
R18;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
R20;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
